Chromosome/scaffold name	Transcript start (bp)	Transcript end (bp)
7	161743477	161744893
7	161736470	161740498
7	161724590	161732784
7	161697850	161703669
7	161697850	161699709
7	161701165	161703669
7	161329465	161340038
7	161293815	161296342
7	161293815	161299246
7	161291769	161293245
7	161256128	161256502
7	161191008	161191542
7	161167135	161170474
7	161166926	161170474
7	161166465	161170474
7	161163542	161165491
7	161158694	161160465
7	161102509	161104652
7	160600350	160600964
7	160599728	160600937
7	160599079	160600937
7	160597155	160600964
7	160571102	160573151
7	160551419	160553078
7	160519715	160520487
7	160420276	160427330
7	160426334	160427330
7	160360936	160363557
7	160351370	160353986
7	160328924	160332522
7	160330948	160332535
7	160256467	160266960
7	160256818	160266962
7	160254708	160256026
7	160178520	160182646
7	160178671	160182662
7	160138410	160140643
7	160125132	160127422
7	160121913	160123965
7	160098895	160108008
7	160094706	160096131
7	160055379	160061649
7	159951153	159960399
7	159959225	159960399
7	159946822	159949142
7	159946713	159949167
7	159936514	159940524
7	159934612	159940524
7	159934594	159940524
7	159902823	159930978
7	159902823	159904577
7	159767632	159770126
7	159767632	159770107
7	159627841	159642964
7	159627682	159642964
7	159627682	159643118
7	159570761	159571366
7	159572049	159572892
7	159502941	159506059
7	159471980	159472375
7	159459900	159465601
7	159459897	159465619
7	159177579	159179251
7	159168808	159175289
7	159075423	159084399
7	159073173	159073553
7	159072030	159072692
7	159040140	159056089
7	159040158	159065687
7	159040140	159065687
7	159034533	159039842
7	159034533	159038578
7	159036093	159039842
7	158985721	158987207
7	158985885	158987207
7	158972712	158974243
7	158972709	158974368
7	158786966	158788414
7	158780723	158782827
7	158779189	158782827
7	158729327	158733748
7	158732546	158733748
7	158641922	158646713
7	158504704	158506178
7	158498408	158506178
7	158404491	158406193
7	158405614	158406193
7	158396800	158403838
7	158386471	158387260
7	158297463	158301857
7	158275238	158277300
7	158275103	158277300
7	158195250	158198995
7	158194837	158199300
7	158194125	158194810
7	158192941	158193826
7	158170084	158171897
7	158164546	158165791
7	158148973	158152005
7	158081581	158087495
7	158075695	158080186
7	158078497	158080186
7	158062309	158075020
7	158062618	158075189
7	158062309	158075189
7	158062694	158075285
7	157945392	157975786
7	157936484	157941437
7	157913771	157914605
7	157899707	157902067
7	157794501	157797268
7	157792542	157797282
7	157718341	157719866
7	157659513	157665812
7	157623045	157627173
7	157609649	157619295
7	157515336	157517298
7	157511830	157513694
7	157507730	157508750
7	157496168	157498257
7	157496168	157498068
7	157477245	157479675
7	157478783	157479675
7	157418798	157420550
7	157418801	157420550
7	157316562	157321198
7	157314643	157315956
7	157314643	157315989
7	157314547	157315990
7	157240749	157246161
7	157240734	157246161
7	157240734	157246312
7	157205480	157207019
7	157136722	157139341
7	157049402	157051342
7	156754356	156755988
7	156707273	156708177
7	156706082	156708177
7	156705728	156708177
7	156541772	156543248
7	156539666	156543248
7	156539630	156543248
7	156513100	156515973
7	156309321	156311226
7	156261136	156265444
7	156251182	156255783
7	156242851	156249789
7	156243851	156249789
7	156219814	156225643
7	156170811	156171155
7	156156854	156161371
7	156150588	156152129
7	156150588	156154913
7	156114537	156116318
7	156054583	156054988
7	156050388	156051083
7	156000781	156005022
7	156000702	156006384
7	155872410	155876303
7	155872362	155876338
7	155819072	155822013
7	155819072	155822017
7	155818212	155822017
7	155658402	155660733
7	155406225	155408501
7	155406225	155410997
7	155405887	155410999
7	155410271	155411050
7	155396846	155398730
7	155396267	155401825
7	155380896	155381757
7	155383953	155384951
7	155381808	155384951
7	155380896	155384951
7	155293714	155297615
7	155288523	155292288
7	155262698	155265290
7	155263041	155265290
7	155147717	155151833
7	155147777	155151869
7	155064195	155065545
7	155062807	155065545
7	154783535	154783848
7	154778757	154781532
7	154546083	154547839
7	154514329	154515364
7	154495292	154507383
7	154467670	154469963
7	154305680	154308577
7	154310325	154337663
7	154310325	154313551
7	154229354	154230208
7	154227775	154230208
7	154224696	154225653
7	154158439	154160973
7	153985839	153988165
7	153894302	153896666
7	153860994	153863453
7	153640760	153644355
7	153642654	153644392
7	153609859	153619217
7	153609824	153615023
7	153595348	153596002
7	153595348	153597540
7	153572197	153572738
7	153490387	153492351
7	153485164	153487062
7	153467700	153475981
7	153464707	153475981
7	153464547	153475981
7	153416453	153416869
7	153413756	153414250
7	153326363	153329791
7	153211794	153213046
7	153002842	153005288
7	152997411	153002646
7	152997411	153005288
7	152873573	152892049
7	152871276	152892049
7	152870773	152892049
7	152868671	152870546
7	152863848	152864372
7	152856633	152861663
7	152856122	152861663
7	152859229	152861721
7	152843404	152844283
7	152813224	152817003
7	152813224	152817033
7	152813224	152817051
7	152729986	152733638
7	152729928	152733638
7	152735114	152735818
7	152729986	152735818
7	152726925	152728424
7	152714822	152716896
7	152533483	152539238
7	152388543	152391232
7	152291430	152292666
7	152213761	152222515
7	151760849	151772331
7	151760765	151776778
7	151560052	151564770
7	151545617	151555713
7	151446946	151528337
7	151526707	151528337
7	151277743	151285604
7	151277743	151287624
7	151254399	151256086
7	151254398	151256086
7	151238748	151239286
7	151203658	151208197
7	151203118	151208160
7	151203078	151208160
7	151118657	151120483
7	151008863	151014148
7	150950725	150951381
7	150946200	150951381
7	150941072	150944692
7	150934423	150941634
7	150934423	150944692
7	150838975	150840847
7	150838797	150840847
7	150818848	150821660
7	150818777	150819447
7	150696090	150699452
7	150696904	150699478
7	150696598	150699478
7	150691588	150692217
7	150550025	150551002
7	150332495	150336960
7	150327118	150337081
7	150326974	150337189
7	150311434	150312915
7	150253180	150254579
7	150218837	150219268
7	150080436	150084409
7	150080408	150084484
7	150058856	150063143
7	150058840	150063143
7	150056444	150057972
7	150044739	150047732
7	150044729	150047732
7	149982423	149984776
7	149958166	149962803
7	149953845	149954818
7	149953124	149954818
7	149952415	149954818
7	149952414	149954818
7	149950098	149951997
7	149950268	149952024
7	149950254	149952024
7	149929011	149929828
7	149896111	149897124
7	149893183	149897124
7	149892079	149897059
7	149892079	149897100
7	149892079	149897124
7	149799029	149800188
7	149796497	149800166
7	149796497	149800188
7	149753102	149755394
7	149639376	149658357
7	149281303	149286155
7	149169258	149171046
7	148962512	148964297
7	148918887	148920903
7	148918683	148920903
7	148918683	148923903
7	148918683	148928587
7	148911510	148912569
7	148891285	148892565
7	148886886	148892565
7	148886883	148892536
7	148771846	148784786
7	148657556	148660457
7	148490575	148493173
7	148216228	148220201
7	148185213	148188559
7	148168589	148170708
7	147963272	147984313
7	147866596	147870180
7	147807813	147820191
7	147802744	147803130
7	147456437	147457200
7	147453947	147454565
7	147420986	147421811
7	147372453	147377159
7	147350044	147351093
7	147239515	147242101
7	147239501	147242101
7	147202460	147203425
7	147197589	147202240
7	147197481	147202240
7	147197270	147202240
7	147192868	147195694
7	147169506	147171150
7	147169612	147170417
7	147150202	147152347
7	147146774	147152106
7	147115385	147116492
7	147100324	147101082
7	147094052	147095217
7	147087009	147090440
7	147017490	147018528
7	147010941	147011979
7	146931998	146933367
7	146931998	146933950
7	146924133	146929647
7	146644672	146644983
7	146585745	146589775
7	146529227	146530657
7	146528797	146534984
7	146529337	146535144
7	146528794	146535144
7	146528252	146535144
7	146500602	146508802
7	146152862	146156171
7	146016588	146017413
7	146016582	146018505
7	145808503	145810608
7	145811083	145812916
7	145808503	145812916
7	145805843	145807566
7	145776339	145777956
7	145774268	145778646
7	145764955	145769179
7	145764955	145769503
7	145760933	145762873
7	145760933	145764663
7	145668595	145669853
7	145668809	145677919
7	145655095	145662817
7	145655095	145658724
7	145489406	145497887
7	145343916	145344782
7	145340020	145344743
7	145262462	145271504
7	145250987	145253407
7	145250788	145253395
7	145021471	145025491
7	145021456	145025491
7	144941144	144943622
7	144900972	144904105
7	144873838	144875122
7	144791136	144796986
7	144693522	144698077
7	144693719	144698077
7	144638417	144640934
7	144638342	144640953
7	144636008	144637031
7	144565563	144566383
7	144565563	144569741
7	144440031	144441013
7	144372530	144375209
7	144337030	144337725
7	144240264	144244193
7	144240231	144244193
7	144233913	144234353
7	144165817	144170295
7	144165647	144170295
7	144165640	144170295
7	144063571	144065096
7	143908381	143909862
7	143908299	143910501
7	143889115	143889928
7	143859625	143867063
7	143856270	143858096
7	143786008	143786918
7	143781954	143783080
7	143666320	143668766
7	143666308	143668769
7	143666299	143668766
7	143565828	143566639
7	143560266	143564142
7	143563340	143564142
7	143473747	143478420
7	143451357	143454306
7	143445419	143450426
7	143429577	143434186
7	143429577	143430671
7	143426117	143426533
7	143364315	143369544
7	143360732	143369569
7	143332752	143334430
7	143288430	143289747
7	143239706	143244897
7	143239615	143250321
7	143239537	143250321
7	143149748	143155381
7	143088207	143088489
7	143085669	143086852
7	143056600	143058520
7	143046979	143051000
7	143046124	143051000
7	143037929	143039821
7	142938485	142940315
7	142938485	142940360
7	142889422	142892816
7	142834157	142834999
7	142648510	142649043
7	142452947	142456961
7	142452947	142457530
7	142451101	142451635
7	142451040	142451688
7	142432248	142434060
7	142270587	142272036
7	142261178	142265322
7	142263501	142265322
7	142206631	142210124
7	142195862	142200647
7	142195906	142200647
7	142142630	142150343
7	142142630	142145350
7	142149450	142150409
7	141975593	141984871
7	141927324	141930101
7	141930197	141933256
7	141927188	141933256
7	141921287	141923938
7	141898358	141910251
7	141876836	141878324
7	141871377	141873385
7	141855742	141861694
7	141861360	141862304
7	141844532	141849471
7	141844023	141849471
7	141828856	141829493
7	141754358	141757129
7	141684671	141690723
7	141680357	141690779
7	141674370	141678424
7	141674370	141678838
7	141612904	141615527
7	141613406	141615527
7	141599721	141600212
7	141582251	141583883
7	141548950	141550797
7	141494465	141502283
7	141272996	141273376
7	141174421	141175245
7	141170323	141171382
7	141162777	141163747
7	140932260	140933160
7	140931084	140933160
7	140847923	140853015
7	140848034	140851281
7	140748856	140751883
7	140750270	140751941
7	140746263	140747962
7	140729134	140731097
7	140512868	140519940
7	140363758	140365602
7	140268522	140272049
7	140141029	140142845
7	140044082	140045870
7	140044167	140045864
7	139999893	140001080
7	139999810	140003957
7	139958440	139959627
7	139958357	139962504
7	139760958	139761887
7	139545050	139549800
7	139544856	139548096
7	139403879	139406268
7	139402570	139404634
7	139402570	139406268
7	139402429	139406215
7	139396307	139402124
7	139396271	139402116
7	139175405	139176522
7	139153642	139156183
7	139152765	139156183
7	138923902	138933246
7	138762094	138766933
7	138727202	138729687
7	138414352	138415470
7	138413393	138417817
7	138407990	138409173
7	138324100	138324874
7	138135236	138139605
7	137989835	137990341
7	137737901	137738284
7	137650880	137651351
7	137653238	137654097
7	137652156	137654097
7	137650880	137654097
7	137580338	137585825
7	137575620	137577886
7	137562106	137562852
7	137562150	137571474
7	137554727	137555988
7	137550617	137552492
7	137205017	137207131
7	137150659	137151815
7	137135948	137137679
7	137132641	137137679
7	137132640	137135489
7	137113331	137119576
7	137062406	137063995
7	137015473	137020066
7	137012149	137013135
7	136981825	136983671
7	136979242	136979898
7	136899000	136902517
7	136898993	136902517
7	136898993	136902620
7	136859605	136860938
7	136408188	136412508
7	136407740	136412508
7	136363257	136364624
7	136296029	136302709
7	136303333	136303520
7	136296029	136307251
7	136289324	136291284
7	136288989	136291438
7	136213370	136214936
7	135925560	135927070
7	135925922	135927070
7	135870838	135874027
7	135859599	135867501
7	135860349	135867501
7	135850007	135856025
7	135739751	135740882
7	135729460	135733184
7	135671926	135673311
7	135661743	135663126
7	135625864	135626905
7	135607176	135617888
7	135607298	135617978
7	135607176	135617978
7	135541997	135550825
7	135547700	135550832
7	135439091	135441320
7	135268326	135269036
7	135242017	135245316
7	135004540	135006737
7	135004533	135006737
7	134882299	134882778
7	134881194	134882749
7	134877303	134880573
7	134877303	134882749
7	134728678	134737413
7	134727893	134737413
7	134358372	134363307
7	134352427	134354017
7	134318887	134334364
7	134258091	134259829
7	134171339	134172006
7	134171280	134175193
7	134171339	134175278
7	134157339	134164093
7	134135565	134138161
7	134136020	134138305
7	134132129	134135181
7	134118864	134129700
7	134116825	134118763
7	134067958	134068794
7	133901563	133903865
7	133835315	133840443
7	133682463	133682781
7	133669383	133682781
7	133637693	133639735
7	133637533	133639587
7	133637359	133639587
7	133600741	133601211
7	133486108	133489711
7	133411201	133413305
7	133413914	133434213
7	133410048	133410509
7	133406463	133408115
7	133402091	133405607
7	133402091	133404970
7	133303312	133304706
7	133288637	133294320
7	133202776	133206423
7	133202225	133202728
7	133192159	133195177
7	133190586	133192581
7	133162284	133172180
7	133162242	133169392
7	133162136	133169392
7	133084548	133086837
7	133062906	133071775
7	132852822	132854928
7	132850463	132851213
7	132837983	132843167
7	132768514	132769136
7	132218974	132236108
7	132216125	132217924
7	132215974	132217583
7	132196342	132198730
7	132113577	132114728
7	132113577	132115658
7	132113569	132115658
7	132109286	132109873
7	132090165	132097426
7	132009025	132010730
7	131855975	131859128
7	131856851	131859128
7	131623184	131624554
7	131603319	131605734
7	131478216	131478760
7	131465727	131467012
7	131460635	131461949
7	131426217	131428292
7	131319715	131322316
7	131319700	131323329
7	131319563	131323434
7	131267709	131269051
7	131267709	131270889
7	131229166	131229960
7	131117802	131118639
7	130936526	130937589
7	130808936	130809693
7	130805819	130806891
7	130735393	130740508
7	130530966	130533992
7	130530957	130534389
7	130527125	130527700
7	130396105	130397020
7	130393751	130395017
7	130352278	130355423
7	130350653	130351753
7	130286153	130293208
7	130285852	130293208
7	130279652	130282751
7	130279555	130282751
7	130124437	130126149
7	129998805	130003537
7	129998945	130003537
7	129930503	129931378
7	129920124	129921349
7	129903653	129907462
7	129876017	129876604
7	129390663	129395207
7	129392258	129395207
7	129161036	129162108
7	129137294	129145654
7	129134091	129145548
7	129134063	129145654
7	129128994	129130412
7	128929221	128930017
7	128890245	128890921
7	128774631	128776484
7	128679049	128680552
7	128602300	128603955
7	128465159	128468632
7	128465159	128478868
7	128465159	128478871
7	128453223	128453555
7	128413578	128414400
7	128407506	128412098
7	127894156	127898930
7	127894067	127898910
7	127766304	127766984
7	127759235	127761580
7	127751568	127753097
7	127751568	127753536
7	127621604	127626267
7	127621256	127626267
7	127621604	127626940
7	127603702	127612520
7	127297821	127303469
7	127286463	127290075
7	127287483	127290075
7	127283456	127285886
7	127247270	127249479
7	127212603	127222338
7	126921088	126922989
7	126921819	126922989
7	126781732	126783449
7	126782368	126783494
7	126384659	126389812
7	126375788	126376705
7	126257731	126258718
7	126196146	126198045
7	126182814	126189544
7	126162266	126164613
7	126138646	126139371
7	126008605	126011545
7	126008635	126011545
7	125871579	125875540
7	125799137	125799694
7	125785415	125786662
7	125577852	125579024
7	125570037	125572244
7	125556487	125559895
7	125556056	125559865
7	125417994	125419365
7	125153749	125156568
7	124982266	124989198
7	124958822	124960209
7	124789218	124793671
7	124779627	124781770
7	124779165	124781770
7	124733971	124736951
7	124542496	124544764
7	124313871	124315851
7	124313854	124315851
7	124249378	124254808
7	124252865	124254808
7	124197042	124201631
7	123915286	123916142
7	123635276	123637214
7	123539134	123541042
7	122962361	122963651
7	122735459	122736849
7	122730951	122732056
7	122381093	122381632
7	122376192	122379676
7	122107695	122108813
7	122105597	122107390
7	122028649	122029393
7	121798788	121800880
7	121579573	121579994
7	121537526	121555417
7	121383206	121386479
7	121349070	121352352
7	121258276	121259224
7	121257089	121259224
7	121224374	121225826
7	121073275	121074607
7	120753674	120754535
7	120606119	120609106
7	120453188	120454951
7	120287526	120289215
7	120237787	120284629
7	120134553	120135397
7	120006864	120009317
7	119954607	119956191
7	119954450	119956085
7	119840261	119842677
7	119630426	119630983
7	119405397	119406603
7	119397610	119397998
7	119394931	119396142
7	119070784	119075653
7	119070618	119073387
7	119070618	119075653
7	119070618	119075721
7	119070595	119075721
7	118942837	118944366
7	118927344	118927709
7	118705995	118711196
7	118614418	118617375
7	118614408	118617375
7	118614418	118617595
7	118571841	118575245
7	118558337	118559188
7	118540743	118541471
7	118540746	118543406
7	118540746	118543502
7	118540743	118543502
7	118459230	118461419
7	118437153	118438237
7	118338235	118339449
7	118118381	118119711
7	118107290	118110061
7	118049197	118051648
7	118049046	118051648
7	117737759	117741648
7	117734381	117741648
7	117551564	117558011
7	117406410	117407362
7	117397049	117407481
7	117293896	117294748
7	117293003	117293629
7	117268909	117276234
7	117208837	117210827
7	117123834	117124328
7	117063315	117065382
7	116558419	116569624
7	116588997	116598337
7	116544229	116553471
7	116409045	116414561
7	116404721	116414561
7	116313567	116316839
7	116305268	116307109
7	116193037	116193787
7	116031966	116033980
7	115908321	115910445
7	115719998	115721820
7	115719689	115721627
7	115576479	115577711
7	115336662	115338419
7	115336589	115338419
7	115302848	115305396
7	115302848	115305264
7	115132369	115136928
7	115132369	115136818
7	115054379	115055427
7	114698804	114699852
7	114678535	114679548
7	114618258	114618882
7	114584305	114584769
7	114205800	114206411
7	114117266	114119161
7	114062253	114064134
7	113618935	113620191
7	113572390	113572947
7	113192548	113193781
7	112172249	112176924
7	112171935	112176924
7	112054987	112056190
7	112053694	112056190
7	111830291	111831787
7	111759325	111761838
7	111734423	111755626
7	111685495	111688473
7	111685372	111688624
7	111436791	111437504
7	111436679	111437504
7	111360834	111361873
7	111360785	111364254
7	111360905	111365653
7	111360825	111365653
7	111011690	111014165
7	111010774	111014165
7	111010774	111014217
7	110944783	110947021
7	110942240	110947021
7	110939102	110941093
7	110939454	110941066
7	110934323	110935954
7	110712544	110716423
7	110591757	110597422
7	110587398	110587981
7	110587398	110592307
7	110587111	110597384
7	110466869	110469235
7	110085574	110088578
7	109940769	109941911
7	109756880	109769170
7	109563281	109564500
7	109561938	109564500
7	109354514	109357294
7	109356206	109357391
7	109245660	109246223
7	109177586	109186447
7	109084587	109086423
7	109075675	109082613
7	108871320	108873623
7	108871320	108874327
7	108726504	108727871
7	108508299	108510532
7	108309686	108416495
7	108309686	108416452
7	108414560	108416833
7	108036059	108039849
7	108036058	108039849
7	108036057	108039849
7	107808587	107810735
7	107808137	107810770
7	107723132	107726815
7	107630591	107631239
7	107261176	107267803
7	107261176	107267703
7	106982793	106986516
7	106812202	106814426
7	106783364	106787068
7	106674904	106676428
7	106669436	106682431
7	106674904	106682995
7	106500296	106502638
7	106518289	106522429
7	106145853	106152666
7	106101444	106106987
7	105796584	105797390
7	105792949	105797390
7	105792892	105797390
7	105792633	105797390
7	105679603	105679817
7	105655307	105657845
7	105535242	105536694
7	105525968	105528209
7	105406204	105412188
7	105393791	105394598
7	105392849	105397550
7	105392733	105397550
7	105247639	105249737
7	105093937	105097814
7	104945375	104946099
7	104563778	104564176
7	104421535	104423300
7	104288444	104291013
7	104201870	104204505
7	103950635	103953501
7	103696259	103697012
7	103633250	103634530
7	103616216	103619616
7	103616216	103619617
7	103534439	103535889
7	103534378	103539283
7	103397880	103398636
7	103358539	103358760
7	103243310	103243787
7	102787388	102788021
7	102443138	102444262
7	102428737	102429886
7	102427572	102432735
7	102427564	102432735
7	102338406	102339155
7	102036070	102043692
7	101769283	101771534
7	101769283	101771590
7	101767307	101770793
7	101612877	101613860
7	101604538	101613989
7	101604053	101613994
7	101412847	101414818
7	101292528	101294529
7	101287600	101294414
7	101190591	101191972
7	101170172	101179413
